snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,languages,TR,14,"Swift","Apple",20,0,0,0
2026-07,languages,VN,1,"Python","General purpose",90500,45.3,0,0
2026-07,languages,VN,2,"Java","General purpose",40500,20.3,0,-18.2
2026-07,languages,VN,3,"C++","Systems",18100,9.1,0,0
2026-07,languages,VN,4,"JavaScript","Web",14800,7.4,0,-18.2
2026-07,languages,VN,5,"SQL","Data",14800,7.4,0,49.5
2026-07,languages,VN,6,"PHP","Web",6600,3.3,0,-18.2
2026-07,languages,VN,7,"Go","Systems",4400,2.2,0,-33.3
2026-07,languages,VN,8,"TypeScript","Web",3600,1.8,-19.4,-46.3
2026-07,languages,VN,9,"C#","General purpose",2900,1.5,-17.2,-33.3
2026-07,languages,VN,10,"Kotlin","JVM / mobile",2400,1.2,-20.8,-34.5
2026-07,languages,VN,11,"Rust","Systems",1000,0.5,90,90
2026-07,languages,VN,12,"R","Data / stats",210,0.1,0,0
2026-07,languages,VN,13,"Ruby","Web",140,0.1,55.6,0
2026-07,languages,VN,14,"Swift","Apple",30,0,-40,200
2026-07,languages,PL,1,"Python","General purpose",60500,34.5,-18.2,0
2026-07,languages,PL,2,"Java","General purpose",33100,18.9,0,-33.1
2026-07,languages,PL,3,"C++","Systems",18100,10.3,-45.3,50
2026-07,languages,PL,4,"JavaScript","Web",14800,8.4,-18.2,-18.2
2026-07,languages,PL,5,"Kotlin","JVM / mobile",14800,8.4,0,0
2026-07,languages,PL,6,"SQL","Data",12100,6.9,-18.2,-18.2
2026-07,languages,PL,7,"PHP","Web",8100,4.6,-18.2,-18.2
2026-07,languages,PL,8,"TypeScript","Web",4400,2.5,0,-33.3
2026-07,languages,PL,9,"C#","General purpose",3600,2.1,-17.2,-33.3
2026-07,languages,PL,10,"Go","Systems",2900,1.7,-17.2,-33.3
2026-07,languages,PL,11,"Rust","Systems",1900,1.1,-15.8,-15.8
2026-07,languages,PL,12,"R","Data / stats",880,0.5,0,0
2026-07,languages,PL,13,"Ruby","Web",90,0.1,0,-35.7
2026-07,languages,PL,14,"Swift","Apple",70,0,-57.1,-66.7
2026-07,languages,SG,1,"Python","General purpose",27100,44.9,-18.1,-18.1
2026-07,languages,SG,2,"Java","General purpose",8100,13.4,-18.5,-18.5
2026-07,languages,SG,3,"JavaScript","Web",6600,10.9,0,-33.3
2026-07,languages,SG,4,"SQL","Data",5400,8.9,0,-18.5
2026-07,languages,SG,5,"PHP","Web",2900,4.8,0,-17.2
2026-07,languages,SG,6,"Go","Systems",2900,4.8,0,-33.3
