snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,seo,ID,4,"Ubersuggest","Keyword research",8100,6.7,-18.5,-33.3
2026-07,seo,ID,5,"Similarweb","Traffic analytics",6600,5.4,0,-33.3
2026-07,seo,ID,6,"GTmetrix","Page speed",4400,3.6,22.2,-18.5
2026-07,seo,ID,7,"AnswerThePublic","Keyword research",2400,2,-15.8,-44.8
2026-07,seo,ID,8,"Moz","All-in-one",1000,0.8,60,23.1
2026-07,seo,ID,9,"Screaming Frog","Crawler",720,0.6,22,-18.2
2026-07,seo,ID,10,"SE Ranking","Rank tracking",590,0.5,-18.6,-18.6
2026-07,seo,ID,11,"Surfer SEO","Content SEO",390,0.3,-33.3,-33.3
2026-07,seo,ID,12,"Rank Math","WordPress plugin",390,0.3,0,-33.3
2026-07,seo,ID,13,"Yoast","WordPress plugin",210,0.2,23.5,-19.2
2026-07,seo,ID,14,"Mangools","Keyword research",210,0.2,-19,-34.6
2026-07,seo,ID,15,"SpyFu","Competitor research",170,0.1,-33.3,-17.6
2026-07,seo,ID,16,"BrightEdge","Enterprise",50,0,50,0
2026-07,seo,JP,1,"Google Search Console","Free · Google",49500,49.4,22.3,49.5
2026-07,seo,JP,2,"Moz","All-in-one",18100,18,-18.2,-18.2
2026-07,seo,JP,3,"Ahrefs","All-in-one",9900,9.9,0,0
2026-07,seo,JP,4,"Similarweb","Traffic analytics",9900,9.9,0,-33.1
2026-07,seo,JP,5,"Semrush","All-in-one",5400,5.4,22.7,-18.2
2026-07,seo,JP,6,"Ubersuggest","Keyword research",4400,4.4,0,-56.1
2026-07,seo,JP,7,"Screaming Frog","Crawler",880,0.9,0,13.6
2026-07,seo,JP,8,"GTmetrix","Page speed",480,0.5,-18.7,-55.9
2026-07,seo,JP,9,"AnswerThePublic","Keyword research",390,0.4,0,-33.3
2026-07,seo,JP,10,"SE Ranking","Rank tracking",390,0.4,23.1,0
2026-07,seo,JP,11,"Surfer SEO","Content SEO",320,0.3,-19,-56.4
2026-07,seo,JP,12,"Rank Math","WordPress plugin",260,0.3,-18.7,0
2026-07,seo,JP,13,"Yoast","WordPress plugin",140,0.1,0,-35.3
2026-07,seo,JP,14,"SpyFu","Competitor research",110,0.1,57.1,-21.4
2026-07,seo,JP,15,"BrightEdge","Enterprise",70,0.1,0,-22.2
2026-07,seo,JP,16,"Mangools","Keyword research",50,0,0,40
2026-07,seo,KR,1,"Google Search Console","Free · Google",14800,61.9,0,49.6
2026-07,seo,KR,2,"Similarweb","Traffic analytics",2900,12.1,-19.4,-19.4
2026-07,seo,KR,3,"Semrush","All-in-one",2400,10,-20.8,-34.5
2026-07,seo,KR,4,"Ahrefs","All-in-one",1600,6.7,-18.7,-31.6
2026-07,seo,KR,5,"Ubersuggest","Keyword research",720,3,0,-41
